거주동 코드,거주동 이름,대표_편도통근시간_분,대표_편도통근거리_km,대표_편도교통비_원,월_통근시간_분,월_통근시간_시간,월_통근교통비_원,월_통근시간_기회비용_원,주요_출근목적지_목록,주요목적지_누적출근비중,거주동_전체_출근량,선택목적지_출근량합,API_경로포함률,교통비_산출포함률,내부통근비중,대표_편도도보시간_분,도보시간_산출포함률,대표_편도환승횟수,환승횟수_산출포함률,월평균_출근일수_가정,시간가치_원_시간,거주동 이름_network,통근권_코드,통근권_행정동수,출근_유출량,동일통근권_내부출근량,동일통근권_내부출근비율,외부통근권_출근량,외부통근권_이동비율,주요_목적지통근권코드,주요_목적지통근권_출근량,주요_목적지통근권_비중,목적지_개수,목적지_HHI,목적지_엔트로피,목적지_정규화엔트로피,유효_목적지수,최대_목적지비중,주요_출근목적지,출근_유입량,출근_순유입량,출근_유입유출비,통근권_대표업무중심지_코드,통근권_대표업무중심지_이름,대표업무중심지_출근유입량,내부통근_출근량,내부통근_비중,루바인_모듈러리티,간선필터_분위수,간선필터_최소이동량
11110515,청운효자동,26.2809058818,6.0483975635687,1539.6683740534345,1103.7980470356,18.39663411726,64666.07171024424,189853.2640901232,"사직동, 종로1.2.3.4가동, 청운효자동, 명동, 소공동",0.800782899670248,564412.04,451971.51,1.0,0.9043547678480884,0.0956452321519115,9.016528665327408,0.9043547678480884,0.8330192548886375,0.9043547678480884,21.0,10320.0,청운효자동,2,92,564412.04,356964.29,0.6324533580112854,207447.75000000006,0.36754664198871456,2,356964.29,0.6324533580112854,364,0.031080319711616712,4.3876041062464965,0.7440206249874926,80.4474443700048,0.09870492840655914,사직동 | 종로1.2.3.4가동 | 청운효자동 | 명동 | 소공동,682327.04,117915.0,1.2089165213413944,11110615,종로1.2.3.4가동,13113292.16,43228.92,0.07659106634224173,0.30782946022911206,0.25,442.0
11110530,사직동,21.436402533,3.6258667192922,1533.8630641391935,900.328906386,15.0054817731,64422.24869384613,154856.571898392,"사직동, 종로1.2.3.4가동, 명동, 여의동, 소공동",0.800899665805416,636380.75,509677.13,1.0,0.7039235800123109,0.2960764199876891,12.013150115146734,0.7039235800123109,0.4277883890150176,0.7039235800123109,21.0,10320.0,사직동,2,92,636380.75,455197.0,0.7152903352277705,181183.75,0.28470966477222953,2,455197.0,0.7152903352277705,409,0.08345086006808512,3.70703754575508,0.6164305175029968,40.73295808679241,0.23712750582100417,사직동 | 종로1.2.3.4가동 | 명동 | 여의동 | 소공동,5118840.98,4482460.23,8.043676651124347,11110615,종로1.2.3.4가동,13113292.16,150903.38,0.23712750582100417,0.30782946022911206,0.25,442.0
11110540,삼청동,25.6785468398,5.1692882884504,1416.033792804311,1078.4989672716,17.974982787859997,59473.419297781045,185501.8223707152,"종로1.2.3.4가동, 삼청동, 청운효자동, 사직동, 가회동",0.8011149447184811,106609.77,85406.68,1.0,0.8878399207181453,0.1121600792818547,9.448853083759808,0.8878399207181453,0.7510413758156173,0.8878399207181453,21.0,10320.0,삼청동,2,92,106609.77,70706.48,0.6632270194373366,35903.29000000001,0.3367729805626633,2,70706.48,0.6632270194373368,286,0.05010863840212085,3.8590554448050134,0.6822950905661994,47.42053889189692,0.15807519329607408,종로1.2.3.4가동 | 삼청동 | 청운효자동 | 사직동 | 가회동,450688.63,344078.86,4.227460860294511,11110615,종로1.2.3.4가동,13113292.16,9579.22,0.08985311571350355,0.30782946022911206,0.25,442.0
11110550,부암동,32.5494143662,7.5753066908332,1544.631742457179,1367.0754033803998,22.78459005634,64874.53318320152,235136.9693814288,"종로1.2.3.4가동, 부암동, 사직동, 명동, 평창동",0.8019803624079876,452322.26,362753.57,1.0,0.9234018565275596,0.0765981434724405,10.231002154359969,0.9234018565275596,0.888348210604644,0.9234018565275596,21.0,10320.0,부암동,2,92,452322.26,292844.11,0.6474236089994775,159478.15000000002,0.35257639100052257,2,292844.11,0.6474236089994775,358,0.024514694587451643,4.499402619835188,0.765135172311845,89.96337291048629,0.07978099508080809,종로1.2.3.4가동 | 부암동 | 사직동 | 명동 | 평창동,273821.33,-178500.93,0.6053677968446656,11110615,종로1.2.3.4가동,13113292.16,27786.25,0.06143020686180689,0.30782946022911206,0.25,442.0
11110560,평창동,33.3110378508,9.4207467585625,1585.48114567965,1399.0635897336,23.31772649556,66590.2081185453,240638.9374341792,"종로1.2.3.4가동, 평창동, 사직동, 부암동, 명동",0.8006078701519406,703357.45,563113.51,1.0,0.9124693705182104,0.0875306294817895,7.403933118281734,0.9124693705182104,0.9921910037134616,0.9124693705182104,21.0,10320.0,평창동,2,92,703357.45,422310.58,0.6004209950431321,281046.86999999994,0.3995790049568679,2,422310.58,0.6004209950431321,379,0.02250063500144959,4.617271950026454,0.7776410602893082,101.21752866699546,0.07082337721737363,종로1.2.3.4가동 | 평창동 | 사직동 | 부암동 | 명동,305384.37,-397973.07999999996,0.4341808990577977,11110615,종로1.2.3.4가동,13113292.16,49289.68,0.0700777108424742,0.30782946022911206,0.25,442.0
11110570,무악동,22.964864713,5.9507409694726,1536.7463516598064,964.524317946,16.0754052991,64543.34676971187,165898.182686712,"종로1.2.3.4가동, 사직동, 소공동, 명동, 여의동",0.8021537196817304,222998.38,178878.98,1.0,0.9838439373927556,0.0161560626072442,8.567448437987581,0.9838439373927556,0.4372907931732305,0.9838439373927556,21.0,10320.0,무악동,2,92,222998.38,147472.58,0.6613168221222054,75525.80000000002,0.3386831778777945,2,147472.58,0.6613168221222055,314,0.03020992309193729,4.275629800045618,0.7436662984292733,71.92542368322871,0.10413851436947659,종로1.2.3.4가동 | 사직동 | 소공동 | 명동 | 여의동,141196.33000000002,-81802.04999999999,0.6331719988279736,11110615,종로1.2.3.4가동,13113292.16,2889.98,0.012959645715811926,0.30782946022911206,0.25,442.0
11110580,교남동,25.7474545762,5.7438618926092,1487.645447474872,1081.3930922004,18.02321820334,62481.10879394463,185999.6118584688,"사직동, 종로1.2.3.4가동, 소공동, 여의동, 교남동",0.8005730537107714,605883.87,485054.3,1.0,0.945762361038754,0.0542376389612462,11.14270708145528,0.945762361038754,0.536739207156876,0.945762361038754,21.0,10320.0,교남동,2,92,605883.87,385382.38,0.6360664131890489,220501.49,0.36393358681095106,2,385382.38,0.6360664131890489,400,0.03025606094187992,4.369271621161589,0.7292493491045677,78.98607895356896,0.0934649902463982,사직동 | 종로1.2.3.4가동 | 소공동 | 여의동 | 교남동,719312.66,113428.79000000004,1.1872120972621372,11110615,종로1.2.3.4가동,13113292.16,26308.2,0.043421192249267174,0.30782946022911206,0.25,442.0
11110600,가회동,21.8770272128,4.509029698688,1434.0020626868477,918.8351429376,15.31391904896,60228.0866328476,158039.6445852672,"종로1.2.3.4가동, 가회동, 사직동, 명동, 여의동",0.8025949191364903,170938.66,137194.5,1.0,0.8054155232170386,0.1945844767829614,9.592856540683496,0.8054155232170386,0.6564693712383391,0.8054155232170386,21.0,10320.0,가회동,2,92,170938.66,109960.51,0.6432746694048028,60978.15000000001,0.3567253305951972,2,109960.51,0.6432746694048028,320,0.06283926897960715,3.855300793352414,0.6683575335290248,47.24282513205192,0.17137071274572996,종로1.2.3.4가동 | 가회동 | 사직동 | 명동 | 여의동,1301673.97,1130735.31,7.614860032247825,11110615,종로1.2.3.4가동,13113292.16,26695.92,0.15617251240883717,0.30782946022911206,0.25,442.0
11110615,종로1.2.3.4가동,17.6961480274,2.0063660110490003,1510.267190214503,743.2382171508,12.38730361918,63431.22198900912,127836.9733499376,"종로1.2.3.4가동, 명동, 사직동, 소공동, 종로5.6가동",0.8002147664214325,802872.25,642470.23,1.0,0.5135551105613096,0.4864448894386904,12.234870097972545,0.5135551105613096,0.2389234721079886,0.5135551105613096,21.0,10320.0,종로1.2.3.4가동,2,92,802872.25,603959.82,0.7522489661337778,198912.43000000005,0.24775103386622224,2,603959.82,0.7522489661337778,427,0.1663009382979355,3.2736280763819665,0.5404894857125554,26.406972268993854,0.3892603835790812,종로1.2.3.4가동 | 명동 | 사직동 | 소공동 | 종로5.6가동,13113292.16,12310419.91,16.332974716712403,11110615,종로1.2.3.4가동,13113292.16,312526.36,0.3892603835790812,0.30782946022911206,0.25,442.0
11110630,종로5.6가동,19.0069369474,3.0899647170536,1465.3814084158346,798.2913517908,13.30485586318,61546.01915346505,137306.1125080176,"종로5.6가동, 종로1.2.3.4가동, 이화동, 명동, 광희동",0.8021138651869433,328018.08,263107.85,1.0,0.7538750364156752,0.2461249635843248,8.753626106065212,0.7538750364156752,0.1323350282383654,0.7538750364156752,21.0,10320.0,종로5.6가동,4,72,328018.08,120944.69,0.3687134867687781,207073.39,0.6312865132312219,2,136834.49,0.41715532875504907,414,0.07401177035254433,3.8272935391127616,0.6351441528466548,45.93804032647044,0.19742024585961848,종로5.6가동 | 종로1.2.3.4가동 | 이화동 | 명동 | 광희동,2771806.47,2443788.39,8.45016369219648,11110630,종로5.6가동,2771806.47,64757.41,0.19742024585961848,0.30782946022911206,0.25,442.0
11110640,이화동,20.955718844,3.9125521064392,1526.2703561207584,880.140191448,14.6690031908,64103.35495707185,151384.112929056,"이화동, 종로5.6가동, 종로1.2.3.4가동, 혜화동, 광희동",0.802151044065208,401502.7,322065.81,1.0,0.7593968760608274,0.2406031239391725,9.104108838210951,0.7593968760608274,0.3563076172683875,0.7593968760608274,21.0,10320.0,이화동,4,72,401502.7,162396.09,0.40447072958662544,239106.61000000002,0.5955292704133746,4,162396.09,0.40447072958662544,426,0.05779888970934256,4.134546177991252,0.6828949703722575,62.461238352750364,0.1930000470731579,이화동 | 종로5.6가동 | 종로1.2.3.4가동 | 혜화동 | 광희동,1982556.51,1581053.81,4.937841040670461,11110630,종로5.6가동,2771806.47,77490.04,0.1930000470731579,0.30782946022911206,0.25,442.0
