거주동 코드,거주동 이름,통근권_코드,통근권_행정동수,출근_유출량,동일통근권_내부출근량,동일통근권_내부출근비율,외부통근권_출근량,외부통근권_이동비율,주요_목적지통근권코드,주요_목적지통근권_출근량,주요_목적지통근권_비중,목적지_개수,목적지_HHI,목적지_엔트로피,목적지_정규화엔트로피,유효_목적지수,최대_목적지비중,주요_출근목적지,출근_유입량,출근_순유입량,출근_유입유출비,통근권_대표업무중심지_코드,통근권_대표업무중심지_이름,대표업무중심지_출근유입량,내부통근_출근량,내부통근_비중,루바인_모듈러리티,간선필터_분위수,간선필터_최소이동량
11590510,노량진1동,1,118,1686694.22,868010.0700000001,0.5146220694347313,818684.1499999999,0.4853779305652686,1,868010.0700000001,0.5146220694347313,401,0.030183922704506448,4.468141060120698,0.7454404093702168,87.19448296127817,0.1098575650540855,노량진1동 | 여의동 | 노량진2동 | 역삼1동 | 한강로동,811293.36,-875400.86,0.4809961108421893,11680640,역삼1동,16119655.08,185296.12,0.1098575650540855,0.30782946022911206,0.25,442.0
11590520,노량진2동,1,118,498387.42,239563.49,0.4806772410106178,258823.93,0.5193227589893822,1,239563.49,0.4806772410106178,394,0.02068113442400507,4.666828960957497,0.7808826877446071,106.35993560783315,0.08062183832810227,여의동 | 노량진2동 | 노량진1동 | 종로1.2.3.4가동 | 상도2동,1027184.72,528797.3,2.061016548130368,11680640,역삼1동,16119655.08,29807.07,0.05980702723194739,0.30782946022911206,0.25,442.0
11590530,상도1동,1,118,2147212.15,1212779.39,0.564815819433585,934432.76,0.43518418056641495,1,1212779.39,0.564815819433585,406,0.016758305303432097,4.749391894769904,0.7907280455491607,115.51401848598863,0.05399923337803393,상도1동 | 여의동 | 역삼1동 | 가산동 | 상도2동,652203.63,-1495008.52,0.3037443831528245,11680640,역삼1동,16119655.08,115947.81,0.05399923337803393,0.30782946022911206,0.25,442.0
11590540,상도2동,1,118,1451421.74,779573.71,0.5371103990767011,671848.03,0.46288960092329884,1,779573.71,0.5371103990767011,407,0.01657906169289668,4.715477978014071,0.7847602900083739,111.66217048289815,0.05339854562189485,여의동 | 상도2동 | 역삼1동 | 가산동 | 서초3동,728704.4500000001,-722717.2899999999,0.5020625156131395,11680640,역삼1동,16119655.08,70859.27,0.04882059297251535,0.30782946022911206,0.25,442.0
11590550,상도3동,1,118,1335811.5,721049.19,0.5397836371374254,614762.31,0.4602163628625746,1,721049.19,0.5397836371374254,387,0.015328614432545374,4.7473721458832525,0.7967495421124934,115.28094463032237,0.047910352620860054,가산동 | 여의동 | 역삼1동 | 상도3동 | 신대방2동,245006.19,-1090805.31,0.18341374512796155,11680640,역삼1동,16119655.08,40994.36,0.03068873115705322,0.30782946022911206,0.25,442.0
11590560,상도4동,1,118,1494272.58,804115.51,0.5381317443434583,690157.0700000001,0.4618682556565416,1,804115.51,0.5381317443434583,391,0.014825981986434053,4.796712092188828,0.8036433422113562,121.11155853294042,0.04769473184069267,여의동 | 가산동 | 역삼1동 | 상도4동 | 상도2동,301938.96,-1192333.62,0.20206417760807738,11680640,역삼1동,16119655.08,45393.19,0.030378118830233773,0.30782946022911206,0.25,442.0
11590605,흑석동,1,118,1457741.9,808057.87,0.5543216326566452,649684.0299999999,0.4456783673433548,1,808057.87,0.5543216326566452,412,0.03187707615304183,4.520914908330355,0.7508549038958247,91.91965757932127,0.12582813871234683,흑석동 | 여의동 | 역삼1동 | 노량진2동 | 종로1.2.3.4가동,823256.06,-634485.8399999999,0.5647474769024613,11680640,역삼1동,16119655.08,183424.95,0.12582813871234683,0.30782946022911206,0.25,442.0
11590620,사당1동,1,118,1348469.8699999999,876133.14,0.6497239274615755,472336.72999999986,0.3502760725384245,1,876133.14,0.6497239274615754,400,0.017367325351521048,4.654281172221818,0.7768186118147677,105.03369172098571,0.0635287164406573,역삼1동 | 서초3동 | 사당1동 | 여의동 | 사당2동,745937.67,-602532.1999999998,0.5531734053501693,11680640,역삼1동,16119655.08,52745.74,0.03911525290513165,0.30782946022911206,0.25,442.0
11590630,사당2동,1,118,1519570.44,924982.48,0.6087131307976746,594587.96,0.39128686920232536,1,924982.48,0.6087131307976746,412,0.018317259270736054,4.710191466621743,0.7822908488024054,111.07342472328003,0.07851268809888141,사당2동 | 서초3동 | 역삼1동 | 여의동 | 종로1.2.3.4가동,909488.97,-610081.47,0.5985171506758187,11680640,역삼1동,16119655.08,119305.56,0.07851268809888141,0.30782946022911206,0.25,442.0
11590640,사당3동,1,118,1137339.02,716016.02,0.6295537279640683,421323.0,0.3704462720359317,1,716016.02,0.6295537279640683,383,0.014673293624104647,4.754504498298183,0.7993403715590998,116.10610813457438,0.04066587814774877,역삼1동 | 서초3동 | 사당2동 | 여의동 | 사당3동,231670.84,-905668.18,0.20369549969366213,11680640,역삼1동,16119655.08,39296.54,0.0345512985213503,0.30782946022911206,0.25,442.0
11590650,사당4동,1,118,786958.43,525698.21,0.6680126801615175,261260.2200000001,0.33198731983848256,1,525698.21,0.6680126801615176,372,0.014340063519192071,4.728697607551201,0.798915764326018,113.14810310951798,0.0488642201850484,역삼1동 | 사당1동 | 서초3동 | 사당4동 | 가산동,250712.21,-536246.2200000001,0.3185838037213732,11680640,역삼1동,16119655.08,20847.87,0.026491704269563512,0.30782946022911206,0.25,442.0
11590651,사당5동,1,118,836896.6,553916.01,0.661869112623949,282980.58999999997,0.33813088737605096,1,553916.01,0.661869112623949,374,0.014932408392748484,4.743602864436459,0.8007086504446121,114.8472362026154,0.04955317060673923,역삼1동 | 서초3동 | 여의동 | 사당5동 | 가산동,244178.5,-592718.1,0.2917666292347227,11680640,역삼1동,16119655.08,27679.5,0.03307397831464484,0.30782946022911206,0.25,442.0
11590660,대방동,1,118,1978264.25,818021.41,0.41350462153880607,1160242.8399999999,0.5864953784611939,1,818021.41,0.413504621538806,409,0.025030958596486755,4.634300090448345,0.7706218153335098,102.95583300076812,0.11126130394359601,여의동 | 대방동 | 가산동 | 역삼1동 | 종로1.2.3.4가동,866317.08,-1111947.17,0.43791777564599876,11680640,역삼1동,16119655.08,124173.93,0.06276913208131825,0.30782946022911206,0.25,442.0
11590680,신대방2동,1,118,1237764.36,628876.13,0.5080741943482683,608888.2300000001,0.49192580565173166,1,628876.13,0.5080741943482684,405,0.01939962564458312,4.662550314378852,0.7765886103893492,105.90583120213763,0.07064115984079554,신대방2동 | 여의동 | 가산동 | 역삼1동 | 구로3동,1388466.95,150702.58999999985,1.1217538611307243,11680640,역삼1동,16119655.08,87437.11,0.07064115984079554,0.30782946022911206,0.25,442.0
11620525,보라매동,1,118,1292955.3599999999,756352.35,0.5849794767856487,536603.0099999999,0.4150205232143513,1,756352.35,0.5849794767856487,388,0.0172843117079056,4.693593742165772,0.7873829119002936,109.24507383083123,0.059451402869778895,역삼1동 | 신대방2동 | 여의동 | 보라매동 | 가산동,716931.3200000001,-576024.0399999998,0.554490388593153,11680640,역삼1동,16119655.08,49929.93,0.038616901669366224,0.30782946022911206,0.25,442.0
11620545,청림동,1,118,513602.75,295039.47,0.5744507209122225,218563.28000000003,0.4255492790877775,1,295039.47,0.5744507209122225,341,0.014241946801686759,4.754833390816238,0.8153170797486702,116.14430084514439,0.05176286536627773,역삼1동 | 여의동 | 서초3동 | 가산동 | 청림동,103734.24,-409868.51,0.20197368491504378,11680640,역삼1동,16119655.08,12895.37,0.025107673196843282,0.30782946022911206,0.25,442.0
11620565,성현동,1,118,1499041.22,937822.58,0.6256149380602088,561218.64,0.3743850619397911,1,937822.58,0.6256149380602088,387,0.015731742375198813,4.751681675688912,0.7974728087521978,115.77882333824508,0.05489476800377778,성현동 | 역삼1동 | 여의동 | 서초3동 | 은천동,315442.83,-1183598.39,0.21042972387377049,11680640,역삼1동,16119655.08,82289.52,0.05489476800377778,0.30782946022911206,0.25,442.0
11620575,행운동,1,118,1709719.03,1110628.27,0.6495969516114002,599090.76,0.35040304838859987,1,1110628.27,0.6495969516114002,390,0.018393960676949577,4.6604809346341165,0.7811542589243536,105.68689842585346,0.07983748651379285,역삼1동 | 서초3동 | 행운동 | 여의동 | 삼성1동,403883.76,-1305835.27,0.2362281479665112,11680640,역삼1동,16119655.08,52437.07,0.030669992601064983,0.30782946022911206,0.25,442.0
11620585,낙성대동,1,118,1029521.1799999999,701894.73,0.6817681303069453,327626.44999999995,0.3182318696930548,1,701894.73,0.6817681303069453,389,0.02310643239319851,4.514900676772138,0.7570789984715267,91.36849055828638,0.08623707964900731,역삼1동 | 대학동 | 서초3동 | 낙성대동 | 청룡동,697054.77,-332466.4099999999,0.6770669545623141,11680640,역삼1동,16119655.08,42277.42,0.04106512893692969,0.30782946022911206,0.25,442.0
11620595,청룡동,1,118,2358018.97,1559532.79,0.6613741491655599,798486.1800000002,0.3386258508344401,1,1559532.79,0.6613741491655599,403,0.022771448011606448,4.534889439429861,0.7559488907077672,93.21320902916578,0.09282875277292615,역삼1동 | 청룡동 | 서초3동 | 여의동 | 삼성1동,1139557.92,-1218461.0500000003,0.4832691910023098,11680640,역삼1동,16119655.08,125706.48,0.05331020725418506,0.30782946022911206,0.25,442.0
11620605,은천동,1,118,1696313.76,1030582.77,0.6075425397716517,665730.99,0.3924574602283483,1,1030582.77,0.6075425397716517,394,0.017519323890627436,4.699874622536317,0.786412092239147,109.93338841862398,0.060590300228420005,은천동 | 역삼1동 | 서초3동 | 가산동 | 청룡동,548126.77,-1148186.99,0.32312817529700405,11680640,역삼1동,16119655.08,102780.16,0.060590300228420005,0.30782946022911206,0.25,442.0
11620615,중앙동,1,118,943065.96,632985.39,0.6711994885278226,310080.56999999995,0.32880051147217737,1,632985.39,0.6711994885278226,369,0.021413211569576828,4.555891526496244,0.7707745335968637,95.19158323542845,0.09584096323442742,역삼1동 | 서초3동 | 삼성1동 | 여의동 | 가산동,382560.04,-560505.9199999999,0.4056556553053829,11680640,역삼1동,16119655.08,25270.78,0.026796407750736755,0.30782946022911206,0.25,442.0
11620625,인헌동,1,118,1660687.02,1123596.08,0.676585091873603,537090.94,0.32341490812639695,1,1123596.08,0.676585091873603,386,0.021088611104699582,4.599504554891883,0.7722683259407362,99.43503883239975,0.08970092389835142,역삼1동 | 서초3동 | 인헌동 | 낙성대동 | 가산동,426861.85,-1233825.17,0.25703931256113505,11680640,역삼1동,16119655.08,72647.03,0.043745166383006955,0.30782946022911206,0.25,442.0
11620630,남현동,1,118,1072137.27,698563.05,0.6515612035387969,373574.22,0.3484387964612031,1,698563.05,0.6515612035387969,399,0.01861659824142844,4.647028851650392,0.7759323408805073,104.27470923659422,0.06230745061217767,역삼1동 | 남현동 | 서초3동 | 여의동 | 사당1동,577402.03,-494735.24,0.5385523348143657,11680640,역삼1동,16119655.08,64853.67,0.06049008071513081,0.30782946022911206,0.25,442.0
11620645,서원동,1,118,1368658.95,787287.53,0.5752255008451886,581371.4199999999,0.4247744991548113,1,787287.53,0.5752255008451886,388,0.017173711573234978,4.695897598555102,0.7877693997925316,109.4970489379576,0.06985443670974423,역삼1동 | 가산동 | 여의동 | 서초3동 | 서원동,372939.55,-995719.3999999999,0.2724853770181388,11680640,역삼1동,16119655.08,43040.19,0.031446979541543206,0.30782946022911206,0.25,442.0
11620655,신원동,1,118,1009347.38,577097.03,0.5717526408004349,432250.35,0.42824735919956514,1,577097.03,0.5717526408004349,368,0.017506436775277218,4.660455366759326,0.7888270045517882,105.68419627101181,0.07089424455631915,역삼1동 | 가산동 | 여의동 | 서초3동 | 구로3동,172820.9,-836526.48,0.17122043750685714,11680640,역삼1동,16119655.08,22047.77,0.021843589666820158,0.30782946022911206,0.25,442.0
11620665,서림동,1,118,1169099.8,696934.29,0.5961289960018811,472165.51,0.40387100399811887,1,696934.29,0.5961289960018811,382,0.017355405950509963,4.672139924404962,0.7858384178306215,106.92631200902034,0.056218066242077876,역삼1동 | 대학동 | 여의동 | 가산동 | 구로3동,141685.48,-1027414.3200000001,0.12119194614523073,11680640,역삼1동,16119655.08,31671.47,0.02709047593712701,0.30782946022911206,0.25,442.0
11620685,신사동,1,118,1288158.52,667256.93,0.5179928709395176,620901.59,0.4820071290604824,1,667256.93,0.5179928709395176,378,0.018996004380402314,4.6436327365061905,0.7824288999007853,103.92118096853885,0.07847845465478892,역삼1동 | 가산동 | 구로3동 | 여의동 | 서초3동,286148.22,-1002010.3,0.22213742762032113,11680640,역삼1동,16119655.08,30467.59,0.023652050215062042,0.30782946022911206,0.25,442.0
11620695,신림동,1,118,1737114.04,1002495.93,0.5771042700224793,734618.11,0.4228957299775206,1,1002495.93,0.5771042700224793,404,0.02045272653737009,4.598546223722798,0.7662436804044206,99.33979278130674,0.08412412002610951,역삼1동 | 여의동 | 구로3동 | 서초3동 | 가산동,719460.15,-1017653.89,0.4141697858823362,11680640,역삼1동,16119655.08,53240.7,0.030648937705897532,0.30782946022911206,0.25,442.0
11620715,난향동,1,118,627988.43,316605.4,0.5041580145035475,311383.03,0.49584198549645253,1,316605.4,0.5041580145035475,306,0.01765389728662907,4.5941489900374055,0.8026698141467816,98.90393149246496,0.05456216765012693,난향동 | 역삼1동 | 구로3동 | 대학동 | 여의동,138708.08000000002,-489280.35000000003,0.22087680819215094,11680640,역삼1동,16119655.08,34264.41,0.05456216765012693,0.30782946022911206,0.25,442.0
11620735,대학동,1,118,1064963.33,670587.4,0.6296812116526115,394375.93000000005,0.37031878834738846,1,670587.4,0.6296812116526115,384,0.0352440114834905,4.429975916337074,0.7444533724195268,83.92939555865597,0.1536630749530127,대학동 | 여의동 | 역삼1동 | 서초3동 | 가산동,1285167.78,220204.44999999995,1.206771861337235,11680640,역삼1동,16119655.08,163645.54,0.1536630749530127,0.30782946022911206,0.25,442.0
11620745,삼성동,1,118,880253.4,514940.55,0.5849912650152785,365312.85000000003,0.41500873498472146,1,514940.55,0.5849912650152785,368,0.01778127986993281,4.714715692869456,0.798011087896249,111.57708450313287,0.06287898461965612,삼성동 | 대학동 | 가산동 | 역삼1동 | 서초3동,259268.09,-620985.31,0.2945380159849425,11680640,역삼1동,16119655.08,55349.44,0.06287898461965612,0.30782946022911206,0.25,442.0
11650510,서초1동,1,118,1174288.4,847992.45,0.722133038187212,326295.94999999995,0.277866961812788,1,847992.45,0.722133038187212,405,0.0412236739154433,4.136187064810282,0.6889181989233585,62.563814310216394,0.11639346858914727,서초3동 | 서초1동 | 서초2동 | 역삼1동 | 서초4동,2575631.94,1401343.54,2.1933555164131744,11680640,역삼1동,16119655.08,123307.02,0.10500573794308111,0.30782946022911206,0.25,442.0
11650520,서초2동,1,118,1349866.51,1037789.01,0.7688086209354138,312077.5,0.23119137906458617,1,1037789.01,0.7688086209354138,408,0.055045272352039404,3.9328511333828002,0.6542466037990776,51.05232735986735,0.1699221577102465,서초2동 | 역삼1동 | 서초3동 | 양재1동 | 양재2동,4418234.8,3068368.29,3.2730901665232066,11680640,역삼1동,16119655.08,229372.23,0.1699221577102465,0.30782946022911206,0.25,442.0
11650530,서초3동,1,118,1916273.54,1424046.28,0.7431330915313896,492227.26,0.2568669084686104,1,1424046.28,0.7431330915313896,422,0.06146763185187789,4.0852336513017615,0.6758031530288617,59.45582806005986,0.2196825824772386,서초3동 | 역삼1동 | 서초1동 | 서초2동 | 여의동,7977521.61,6061248.07,4.163039066959094,11680640,역삼1동,16119655.08,420971.92,0.2196825824772386,0.30782946022911206,0.25,442.0
11650531,서초4동,1,118,1303879.27,867739.67,0.6655061476665705,436139.6,0.3344938523334296,1,867739.67,0.6655061476665705,408,0.0367098696845945,4.217922720803652,0.7016694813971122,67.89230643153003,0.11068392091240165,서초4동 | 역삼1동 | 서초3동 | 여의동 | 서초2동,3047796.38,1743917.1099999999,2.3374835769879216,11680640,역삼1동,16119655.08,144318.47,0.11068392091240165,0.30782946022911206,0.25,442.0
11650540,잠원동,1,118,1324324.92,782426.42,0.5908115207860017,541898.4999999999,0.40918847921399826,1,782426.42,0.5908115207860017,414,0.026487160392160654,4.451091139833516,0.7386641453971625,85.72042596329452,0.09866704766078101,잠원동 | 여의동 | 역삼1동 | 종로1.2.3.4가동 | 논현1동,1467594.28,143269.3600000001,1.1081829374622054,11680640,역삼1동,16119655.08,130667.23,0.09866704766078101,0.30782946022911206,0.25,442.0
11650550,반포본동,1,118,45949.5,31732.43,0.6905935864372844,14217.07,0.3094064135627156,1,31732.43,0.6905935864372844,214,0.0795040441902264,3.5051910099980277,0.6532252474079973,33.28780154810075,0.19484912784687536,반포2동 | 반포본동 | 여의동 | 서초2동 | 논현1동,82345.17,36395.67,1.7920797832402964,11680640,역삼1동,16119655.08,7922.27,0.17241253985353486,0.30782946022911206,0.25,442.0
11650560,반포1동,1,118,1545824.41,998445.6,0.6458984562159942,547378.8099999999,0.3541015437840058,1,998445.6,0.6458984562159942,409,0.024746412546115273,4.462755172923297,0.7420962012873117,86.72612570365831,0.07870997456949202,반포1동 | 역삼1동 | 여의동 | 서초4동 | 논현1동,1290857.14,-254967.27000000002,0.8350606521991718,11680640,역삼1동,16119655.08,121671.8,0.07870997456949202,0.30782946022911206,0.25,442.0
11650570,반포2동,1,118,1135285.07,623764.83,0.5494345398200294,511520.2400000001,0.45056546017997057,1,623764.83,0.5494345398200294,399,0.02331585785612815,4.596240391986082,0.7674519957707395,99.11099581941419,0.08381272027121787,반포2동 | 여의동 | 역삼1동 | 반포4동 | 서초3동,651644.01,-483641.06000000006,0.5739915261987899,11680640,역삼1동,16119655.08,95151.33,0.08381272027121787,0.30782946022911206,0.25,442.0
11650580,반포3동,1,118,1120396.85,631948.54,0.5640399113938959,488448.31000000006,0.4359600886061042,1,631948.54,0.5640399113938959,408,0.021766818751643924,4.606619583142602,0.7663308666028825,100.1450448038221,0.07169962143324483,반포3동 | 여의동 | 역삼1동 | 서초3동 | 종로1.2.3.4가동,702009.99,-418386.8600000001,0.62657262022827,11680640,역삼1동,16119655.08,80332.03,0.07169962143324483,0.30782946022911206,0.25,442.0
11650581,반포4동,1,118,1085895.43,668631.86,0.6157424016417493,417263.56999999995,0.38425759835825074,1,668631.86,0.6157424016417493,426,0.03064119757872135,4.454795541445967,0.7357899363862529,86.03855772756391,0.10902963280727686,반포4동 | 서초3동 | 여의동 | 역삼1동 | 서초4동,2462775.21,1376879.78,2.267967192752621,11680640,역삼1동,16119655.08,118394.78,0.10902963280727686,0.30782946022911206,0.25,442.0
11650590,방배본동,1,118,900263.39,567403.93,0.6302643607444706,332859.45999999996,0.3697356392555294,1,567403.93,0.6302643607444706,366,0.01981379737633903,4.6055079857304175,0.780246328307253,100.0337856803084,0.0677577703120861,방배본동 | 서초3동 | 여의동 | 역삼1동 | 방배4동,586887.45,-313375.94000000006,0.6519063826420842,11680640,역삼1동,16119655.08,60999.84,0.0677577703120861,0.30782946022911206,0.25,442.0
11650600,방배1동,1,118,873828.3099999999,605058.63,0.6924227826859948,268769.67999999993,0.3075772173140053,1,605058.63,0.6924227826859947,379,0.022997352456210932,4.4878320640965,0.7558407913799321,88.92844557809785,0.07767728422531882,방배1동 | 역삼1동 | 서초3동 | 방배4동 | 여의동,1038253.4299999999,164425.12,1.1881663916336151,11680640,역삼1동,16119655.08,67876.61,0.07767728422531882,0.30782946022911206,0.25,442.0
