행정동 코드,행정동 이름,통근권_코드,통근권_행정동수
11110515,청운효자동,2,92
11110530,사직동,2,92
11110540,삼청동,2,92
11110550,부암동,2,92
11110560,평창동,2,92
11110570,무악동,2,92
11110580,교남동,2,92
11110600,가회동,2,92
11110615,종로1.2.3.4가동,2,92
11110630,종로5.6가동,4,72
11110640,이화동,4,72
11110650,혜화동,4,72
11110670,창신1동,2,92
11110680,창신2동,2,92
11110690,창신3동,2,92
11110700,숭인1동,2,92
11110710,숭인2동,2,92
11140520,소공동,2,92
11140540,회현동,2,92
11140550,명동,2,92
11140570,필동,2,92
11140580,장충동,2,92
11140590,광희동,2,92
11140605,을지로동,2,92
11140615,신당동,2,92
11140625,다산동,2,92
11140635,약수동,2,92
11140645,청구동,2,92
11140650,신당5동,2,92
11140665,동화동,2,92
11140670,황학동,2,92
11140680,중림동,2,92
11170510,후암동,2,92
11170520,용산2가동,2,92
11170530,남영동,2,92
11170555,청파동,2,92
11170560,원효로1동,2,92
11170570,원효로2동,2,92
11170580,효창동,2,92
11170590,용문동,2,92
11170625,한강로동,2,92
11170630,이촌1동,2,92
11170640,이촌2동,2,92
11170650,이태원1동,2,92
11170660,이태원2동,2,92
11170685,한남동,2,92
11170690,서빙고동,2,92
11170700,보광동,2,92
11200520,왕십리2동,5,60
11200535,왕십리도선동,5,60
11200540,마장동,5,60
11200550,사근동,5,60
11200560,행당1동,5,60
11200570,행당2동,5,60
11200580,응봉동,5,60
11200590,금호1가동,5,60
11200615,금호2.3가동,5,60
11200620,금호4가동,5,60
11200645,옥수동,2,92
11200650,성수1가1동,5,60
11200660,성수1가2동,5,60
11200670,성수2가1동,5,60
11200690,성수2가3동,5,60
11200720,송정동,5,60
11200790,용답동,5,60
11215710,화양동,5,60
11215730,군자동,5,60
11215740,중곡1동,5,60
11215750,중곡2동,5,60
11215760,중곡3동,5,60
11215770,중곡4동,5,60
11215780,능동,5,60
11215810,광장동,5,60
11215820,자양1동,5,60
11215830,자양2동,5,60
11215840,자양3동,5,60
11215847,자양4동,5,60
11215850,구의1동,5,60
11215860,구의2동,5,60
11215870,구의3동,5,60
11230515,신설동,4,72
11230533,용두동,5,60
11230536,용신동,4,72
11230545,제기동,4,72
11230560,전농1동,5,60
11230570,전농2동,5,60
11230600,답십리1동,5,60
11230610,답십리2동,5,60
11230650,장안1동,5,60
11230660,장안2동,5,60
11230705,청량리동,5,60
11230710,회기동,5,60
11230720,휘경1동,5,60
11230730,휘경2동,5,60
11230740,이문1동,5,60
11230750,이문2동,5,60
11260520,면목2동,5,60
11260540,면목4동,5,60
11260550,면목5동,5,60
11260565,면목본동,5,60
11260570,면목7동,5,60
11260575,면목3.8동,5,60
11260580,상봉1동,5,60
11260590,상봉2동,5,60
11260600,중화1동,5,60
11260610,중화2동,5,60
11260620,묵1동,5,60
11260630,묵2동,5,60
11260655,망우본동,5,60
11260660,망우3동,5,60
11260680,신내1동,5,60
11260690,신내2동,5,60
11290525,성북동,4,72
11290555,삼선동,4,72
11290575,동선동,4,72
11290580,돈암1동,4,72
11290590,돈암2동,4,72
11290600,안암동,4,72
11290610,보문동,4,72
11290620,정릉1동,4,72
11290630,정릉2동,4,72
11290640,정릉3동,4,72
11290650,정릉4동,4,72
11290660,길음1동,4,72
11290685,길음2동,4,72
11290705,종암동,4,72
11290715,월곡1동,4,72
11290725,월곡2동,4,72
11290760,장위1동,4,72
11290770,장위2동,4,72
11290780,장위3동,4,72
11290810,석관동,4,72
11305534,삼양동,4,72
11305535,미아동,4,72
11305545,송중동,4,72
11305555,송천동,4,72
11305575,삼각산동,4,72
11305595,번1동,4,72
11305603,번2동,4,72
11305608,번3동,4,72
11305615,수유1동,4,72
11305625,수유2동,4,72
11305635,수유3동,4,72
11305645,우이동,4,72
11305660,인수동,4,72
11320511,창1동,4,72
11320512,창2동,4,72
11320513,창3동,4,72
11320514,창4동,4,72
11320515,창5동,4,72
11320521,도봉1동,4,72
11320522,도봉2동,4,72
11320660,쌍문1동,4,72
11320670,쌍문2동,4,72
11320680,쌍문3동,4,72
11320681,쌍문4동,4,72
11320690,방학1동,4,72
11320700,방학2동,4,72
11320710,방학3동,4,72
11350560,월계1동,4,72
11350570,월계2동,4,72
11350580,월계3동,4,72
11350595,공릉1동,4,72
11350600,공릉2동,4,72
11350611,하계1동,4,72
11350612,하계2동,4,72
11350619,중계본동,4,72
11350621,중계1동,4,72
11350624,중계4동,4,72
11350625,중계2.3동,4,72
11350630,상계1동,4,72
11350640,상계2동,4,72
11350665,상계3.4동,4,72
11350670,상계5동,4,72
11350695,상계6.7동,4,72
11350700,상계8동,4,72
11350710,상계9동,4,72
11350720,상계10동,4,72
11380510,녹번동,2,92
11380520,불광1동,2,92
11380530,불광2동,2,92
11380551,갈현1동,2,92
11380552,갈현2동,2,92
11380560,구산동,2,92
11380570,대조동,2,92
11380580,응암1동,2,92
11380590,응암2동,2,92
11380600,응암3동,2,92
11380625,역촌동,2,92
11380631,신사1동,2,92
11380632,신사2동,2,92
11380640,증산동,2,92
11380650,수색동,2,92
11380690,진관동,2,92
11410520,천연동,2,92
11410555,북아현동,2,92
11410565,충현동,2,92
11410585,신촌동,2,92
11410615,연희동,2,92
11410620,홍제1동,2,92
11410640,홍제3동,2,92
11410655,홍제2동,2,92
11410660,홍은1동,2,92
11410685,홍은2동,2,92
11410690,남가좌1동,2,92
11410700,남가좌2동,2,92
11410710,북가좌1동,2,92
11410720,북가좌2동,2,92
11440555,아현동,2,92
11440565,공덕동,2,92
11440585,도화동,2,92
11440590,용강동,2,92
11440600,대흥동,2,92
11440610,염리동,2,92
11440630,신수동,2,92
11440655,서강동,2,92
11440660,서교동,2,92
11440680,합정동,2,92
11440690,망원1동,2,92
11440700,망원2동,2,92
11440710,연남동,2,92
11440720,성산1동,2,92
11440730,성산2동,2,92
11440740,상암동,2,92
11470510,목1동,3,86
11470520,목2동,3,86
11470530,목3동,3,86
11470540,목4동,3,86
11470550,목5동,3,86
11470560,신월1동,3,86
11470570,신월2동,3,86
11470580,신월3동,3,86
11470590,신월4동,3,86
11470600,신월5동,3,86
11470610,신월6동,3,86
11470611,신월7동,3,86
11470620,신정1동,3,86
11470630,신정2동,3,86
11470640,신정3동,3,86
11470650,신정4동,3,86
11470670,신정6동,3,86
11470680,신정7동,3,86
11500510,염창동,3,86
11500520,등촌1동,3,86
11500530,등촌2동,3,86
11500535,등촌3동,3,86
11500540,화곡1동,3,86
11500550,화곡2동,3,86
11500560,화곡3동,3,86
11500570,화곡4동,3,86
11500590,화곡본동,3,86
11500591,화곡6동,3,86
11500593,화곡8동,3,86
11500603,가양1동,3,86
11500604,가양2동,3,86
11500605,가양3동,3,86
11500611,발산1동,3,86
11500615,우장산동,3,86
11500620,공항동,3,86
11500630,방화1동,3,86
11500640,방화2동,3,86
11500641,방화3동,3,86
11530510,신도림동,3,86
11530520,구로1동,3,86
11530530,구로2동,3,86
11530540,구로3동,3,86
11530550,구로4동,3,86
11530560,구로5동,3,86
11530595,가리봉동,3,86
11530720,고척1동,3,86
11530730,고척2동,3,86
11530740,개봉1동,3,86
11530750,개봉2동,3,86
11530760,개봉3동,3,86
11530770,오류1동,3,86
11530780,오류2동,3,86
11530790,수궁동,3,86
11530800,항동,3,86
11545510,가산동,3,86
11545610,독산1동,3,86
11545620,독산2동,3,86
11545630,독산3동,3,86
11545640,독산4동,3,86
11545670,시흥1동,3,86
11545680,시흥2동,3,86
11545690,시흥3동,3,86
11545700,시흥4동,3,86
11545710,시흥5동,3,86
11560515,영등포본동,3,86
11560535,영등포동,3,86
11560540,여의동,3,86
11560550,당산1동,3,86
11560560,당산2동,3,86
11560585,도림동,3,86
11560605,문래동,3,86
11560610,양평1동,3,86
11560620,양평2동,3,86
11560630,신길1동,3,86
11560650,신길3동,3,86
11560660,신길4동,3,86
11560670,신길5동,3,86
11560680,신길6동,3,86
11560690,신길7동,3,86
11560700,대림1동,3,86
11560710,대림2동,3,86
11560720,대림3동,3,86
11590510,노량진1동,1,118
11590520,노량진2동,1,118
11590530,상도1동,1,118
11590540,상도2동,1,118
11590550,상도3동,1,118
