행정동코드,시군구명,행정동명,권역,군집,행정동_유형,유형화_상태,유형화_데이터부족,유형화_결측수,유형화_결측목록,표면주거비_결측,표면주거비_원,표면주거비_거래수,표면주거비_집계방식,대표_편도통근시간_분,월통근교통비_원,동일통근권_내부출근비율,목적지_정규화엔트로피,목적지_HHI,청년1인세대_비율,최대소속확률,군집경계_모호
1111051500,종로구,청운효자동,도심권,4,근접통근 균형형,유형화 완료,False,0,,False,720833.3333333333,399.0,거래단위 pooled 중앙값,26.2809058818,64666.07171024424,0.6324533580112854,0.7440206249874926,0.0310803197116167,13.2,0.9894838722092485,False
1111053000,종로구,사직동,도심권,6,고주거비·직주근접형,유형화 완료,False,0,,False,997833.3333333331,671.0,거래단위 pooled 중앙값,21.436402533,64422.24869384613,0.7152903352277705,0.6164305175029969,0.0834508600680851,21.27,0.9667148992398836,False
1111054000,종로구,삼청동,도심권,4,근접통근 균형형,유형화 완료,False,0,,False,726250.0,48.0,거래단위 pooled 중앙값,25.6785468398,59473.419297781045,0.6632270194373366,0.6822950905661994,0.0501086384021208,14.54,0.48337071173703283,False
1111055000,종로구,부암동,도심권,5,저주거비·지역연계형,유형화 완료,False,0,,False,647875.0,394.0,거래단위 pooled 중앙값,32.5494143662,64874.53318320152,0.6474236089994775,0.765135172311845,0.0245146945874516,13.61,0.9306581669237453,False
1111056000,종로구,평창동,도심권,5,저주거비·지역연계형,유형화 완료,False,0,,False,725000.0,175.0,거래단위 pooled 중앙값,33.3110378508,66590.2081185453,0.6004209950431321,0.7776410602893082,0.0225006350014495,7.57,0.6190641631133184,False
1111057000,종로구,무악동,도심권,4,근접통근 균형형,유형화 완료,False,0,,False,562500.0,21.0,거래단위 pooled 중앙값,22.964864713,64543.34676971187,0.6613168221222054,0.7436662984292733,0.0302099230919372,3.34,0.7539653572355253,False
1111058000,종로구,교남동,도심권,4,근접통근 균형형,유형화 완료,False,0,,False,690833.3333333334,368.0,거래단위 pooled 중앙값,25.7474545762,62481.10879394463,0.6360664131890489,0.7292493491045677,0.0302560609418799,12.92,0.9569583656004944,False
1111060000,종로구,가회동,도심권,6,고주거비·직주근접형,유형화 완료,False,0,,False,756666.6666666666,192.0,거래단위 pooled 중앙값,21.8770272128,60228.0866328476,0.6432746694048028,0.6683575335290249,0.0628392689796071,14.18,0.6563528468842492,False
1111061500,종로구,종로1.2.3.4가동,도심권,6,고주거비·직주근접형,유형화 완료,False,0,,False,751499.9999999999,529.0,거래단위 pooled 중앙값,17.6961480274,63431.22198900912,0.7522489661337778,0.5404894857125553,0.1663009382979355,26.67,0.8149871431573753,False
1111063000,종로구,종로5.6가동,도심권,6,고주거비·직주근접형,유형화 완료,False,0,,False,699958.3333333333,808.0,거래단위 pooled 중앙값,19.0069369474,61546.01915346505,0.3687134867687781,0.6351441528466546,0.0740117703525443,38.12,0.3393518078741214,True
