거주동코드,업무지구,표면주거비_원,편도통근시간_분,월교통비_원,월통근시간비용_원,총주거통근부담_원,업무동포착수,거주동명,행정동명,시군구명,권역,행정동_유형,4사분면_주거통근,4사분면_부담구조,청년1인세대_비율,추천순위
1162054500,강남,502714.28571428574,35.228555060768315,64369.24418031954,254491.08175899027,821574.6116535956,5,청림동,청림동,관악구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,10.04,1.0
1126054000,강남,537217.3659673659,32.94138056604763,67679.3032464746,237968.53320912807,842865.2024229686,5,면목4동,면목제4동,중랑구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,11.89,2.0
1126057500,강남,517404.37915742793,36.414275201107316,67340.40449891087,263056.72405279934,847801.5077091381,5,면목3.8동,면목제3.8동,중랑구,동북권,광역분산 통근형,저주거비·고통근부담,저부담·광역분산,15.58,3.0
1162074500,강남,472036.5682137834,43.78843746020106,68792.97220031988,316327.67221249244,857157.2126265959,5,삼성동,삼성동,관악구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,7.46,4.0
1168066000,강남,640717.0542635659,21.81861364465568,58880.58870756774,157617.66496899264,857215.3079401265,5,개포1동,개포1동,강남구,동남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,2.6,5.0
1171051000,강남,478765.4867256637,43.6433446635736,65380.64280262177,315279.52184965566,859425.6513779412,5,풍납1동,풍납1동,송파구,동남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,9.41,6.0
1159067000,강남,516698.38060224085,37.99843984717812,70401.3965658979,274500.72945601476,861600.5066241535,5,신대방1동,신대방제1동,동작구,서남권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,17.94,7.0
1159051000,강남,522067.1487603305,34.75326763545814,94893.65327549828,251057.6053985496,868018.4074343782,5,노량진1동,노량진제1동,동작구,서남권,근접통근 균형형,저주거비·저통근부담,저부담·지역집중,33.64,8.0
1120058000,강남,562384.6153846154,34.52023272602285,63229.88146821457,249374.16121278898,874988.6580656191,5,응봉동,응봉동,성동구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,7.26,9.0
1120072000,강남,582179.4976794976,31.875469062400818,63314.17406404843,230268.38850678352,875762.0602503296,5,송정동,송정동,성동구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,22.48,10.0
1111068000,광화문·종로,484720.4861111111,20.037974830214512,63000.0,144754.33017346964,692474.8162845807,2,창신2동,창신제2동,종로구,도심권,근접통근 균형형,저주거비·저통근부담,저부담·광역분산,10.0,1.0
1129058000,광화문·종로,432212.64367816097,28.10511661315025,63000.0,203031.36241339738,698244.0060915583,2,돈암1동,돈암제1동,성북구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,7.48,2.0
1111057000,광화문·종로,554325.3968253968,15.18463987053833,64227.74372813049,109693.8384247689,728246.9789782962,2,무악동,무악동,종로구,도심권,근접통근 균형형,저주거비·저통근부담,저부담·지역집중,3.34,3.0
1129062000,광화문·종로,540365.6126482213,24.135317945768314,63000.0,174353.53684023028,777719.1494884517,2,정릉1동,정릉제1동,성북구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,10.83,4.0
1129068500,광화문·종로,541853.9886039885,25.276148872320576,62999.99999999999,182594.89945364385,787448.8880576323,2,길음2동,길음제2동,성북구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,8.32,5.0
1156065000,광화문·종로,477224.8641304348,34.982866745513476,67791.28372667907,252716.22936958933,797732.3772267031,2,신길3동,신길제3동,영등포구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,13.52,6.0
1120061500,광화문·종로,593555.5555555555,19.357126697569786,65100.0,139835.88326324412,798491.4388187996,2,금호2.3가동,금호2.3가동,성동구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,11.31,7.0
1114058000,광화문·종로,587802.9068187992,20.51706455558443,64468.29476244513,148215.2743495419,800486.4759307862,2,장충동,장충동,중구,도심권,근접통근 균형형,저주거비·저통근부담,저부담·지역집중,43.36,8.0
1156051500,광화문·종로,508509.4030365769,31.46244600478835,66966.07451457574,227284.70993859108,802760.1874897437,2,영등포본동,영등포본동,영등포구,서남권,근접통근 균형형,저주거비·저통근부담,저부담·지역집중,16.03,9.0
1141068500,광화문·종로,551763.6203866431,26.016526067975683,64379.238083969954,187943.38431505638,804086.2427856694,2,홍은2동,홍은제2동,서대문구,서북권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,16.63,10.0
1156067000,구로·가산,465914.0893470791,18.451359395631755,64244.28534320411,133292.6202740438,663450.9949643271,2,신길5동,신길제5동,영등포구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,10.53,1.0
1156071000,구로·가산,524153.44406448456,11.532150747768771,63721.15639543299,83308.25700188162,671182.8574617993,2,대림2동,대림제2동,영등포구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,25.51,2.0
1153059500,구로·가산,532535.4911981829,11.002307985572086,63000.0,79480.67288777276,675016.1640859557,2,가리봉동,가리봉동,구로구,서남권,근접통근 균형형,저주거비·저통근부담,저부담·지역집중,32.33,3.0
1153073000,구로·가산,419935.5355555556,26.65460697581932,63000.0,192552.8807933188,675488.4163488745,2,고척2동,고척제2동,구로구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,8.09,4.0
1153053000,구로·가산,522451.56210632407,12.542667952437716,62999.99999999999,90608.23328841006,676059.7953947342,2,구로2동,구로제2동,구로구,서남권,저주거비·지역연계형,저주거비·고통근부담,저부담·지역집중,14.8,5.0
1162071500,구로·가산,436134.75177304953,25.35482424020102,63000.00000000001,183163.25031121215,682298.0020842616,2,난향동,난향동,관악구,서남권,주거절감·장거리통근형,저주거비·고통근부담,저부담·광역분산,5.35,6.0
1153055000,구로·가산,533354.3859649122,12.986514890124488,56158.02195538691,93814.58356625929,683326.9914865583,2,구로4동,구로제4동,구로구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,18.18,7.0
1154570000,구로·가산,497488.8888888888,19.63294206965972,62999.99999999999,141828.37351122184,702317.2624001105,2,시흥4동,시흥제4동,금천구,서남권,근접통근 균형형,저주거비·저통근부담,저부담·지역집중,7.66,8.0
1156065000,구로·가산,477224.8641304348,22.84737635978725,62999.99999999999,165049.44682310312,705274.3109535378,2,신길3동,신길제3동,영등포구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,13.52,9.0
1159067000,구로·가산,516698.38060224085,18.045307353372024,63000.00000000001,130359.3003207595,710057.6809230003,2,신대방1동,신대방제1동,동작구,서남권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,17.94,10.0
1138064000,상암,522155.737704918,16.3,63000.0,117751.19999999998,702906.937704918,1,증산동,증산동,은평구,서북권,저주거비·지역연계형,저주거비·고통근부담,고부담·광역분산,11.25,1.0
1150064100,상암,463508.80281690136,28.0,69300.0,202272.00000000003,735080.8028169014,1,방화3동,방화제3동,강서구,서남권,저주거비·지역연계형,저주거비·고통근부담,고부담·지역집중,11.24,2.0
1147058000,상암,453126.4665286405,33.3,63000.0,240559.19999999998,756685.6665286404,1,신월3동,신월3동,양천구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,11.28,3.0
1141070000,상암,504374.4307330689,28.4,63000.0,205161.59999999995,772536.0307330687,1,남가좌2동,남가좌제2동,서대문구,서북권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,18.0,4.0
1138060000,상암,565753.9392234102,20.1,63000.0,145202.4,773956.3392234102,1,응암3동,응암제3동,은평구,서북권,저주거비·지역연계형,저주거비·고통근부담,고부담·광역분산,17.17,5.0
1138065000,상암,549502.7624309391,15.9,126000.0,114861.6,790364.3624309391,1,수색동,수색동,은평구,서북권,고비용 통근부담형,저주거비·고통근부담,고부담·지역집중,8.7,6.0
1150064000,상암,534896.191787107,27.0,69300.0,195047.99999999997,799244.191787107,1,방화2동,방화제2동,강서구,서남권,저주거비·지역연계형,저주거비·고통근부담,고부담·지역집중,20.62,7.0
1147056000,상암,527961.0791366906,31.500000000000004,63000.0,227556.00000000003,818517.0791366906,1,신월1동,신월1동,양천구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,11.24,8.0
1153073000,상암,419935.5355555556,46.2,67200.0,333748.80000000005,820884.3355555558,1,고척2동,고척제2동,구로구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,8.09,9.0
1138062500,상암,604303.8562907475,21.8,63000.0,157483.2,824787.0562907476,1,역촌동,역촌동,은평구,서북권,고비용 통근부담형,저주거비·고통근부담,고부담·지역집중,13.83,10.0
1156065000,여의도,477224.8641304348,14.9,63000.0,107637.60000000002,647862.4641304348,1,신길3동,신길제3동,영등포구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,13.52,1.0
