거주동 코드,거주동 이름,근무동 코드,근무동 이름,출근_이동량,평균_이동시간_분,평균_이동거리_m,평균_이동거리_km,원본_행수,home_code8,work_code8,is_top80,목적지_순위,최종_가중치,is_internal
11230536,용신동,11230536,용신동,103993.53,19.37,458.58,0.459,5273,11230536,11230536,1,1.0,0.12409382,1
11230536,용신동,11110615,종로1.2.3.4가동,61617.55,35.15,4060.11,4.06,4522,11230536,11110615,1,2.0,0.07352724,0
11230545,제기동,11230536,용신동,47187.47,21.25,860.7,0.861,4341,11230545,11230536,1,3.0,0.04906586,0
11230536,용신동,11140550,명동,40631.78,37.44,4467.63,4.468,3677,11230536,11140550,1,3.0,0.04848526,0
11230536,용신동,11230545,제기동,33440.81,20.77,856.98,0.857,3604,11230536,11230545,1,4.0,0.03990439,0
11230560,전농1동,11230536,용신동,29262.22,27.55,1688.39,1.688,3485,11230560,11230536,1,10.0,0.02142389,0
11230536,용신동,11140520,소공동,26411.92,41.15,5209.77,5.21,3038,11230536,11140520,1,5.0,0.03151692,0
11230536,용신동,11140540,회현동,24397.82,42.01,5339.52,5.34,3144,11230536,11140540,1,6.0,0.02911353,0
11230536,용신동,11200690,성수2가3동,23582.81,34.46,4033.04,4.033,2868,11230536,11200690,1,7.0,0.02814099,0
11230536,용신동,11680640,역삼1동,23074.46,56.45,8443.06,8.443,2957,11230536,11680640,1,8.0,0.02753439,0
11230536,용신동,11560540,여의동,21233.56,57.92,11247.62,11.248,2392,11230536,11560540,1,9.0,0.02533767,0
11230536,용신동,11110630,종로5.6가동,21198.37,28.62,2460.17,2.46,2938,11230536,11110630,1,10.0,0.02529568,0
11230705,청량리동,11230536,용신동,20817.15,23.65,1577.85,1.578,2859,11230705,11230536,1,6.0,0.02945354,0
11200535,왕십리도선동,11230536,용신동,20438.18,21.9,956.69,0.957,3239,11200535,11230536,1,20.0,0.01473522,0
11230660,장안2동,11230536,용신동,20245.94,29.94,3412.46,3.412,3134,11230660,11230536,1,13.0,0.01472237,0
11290705,종암동,11230536,용신동,20039.66,28.13,2522.46,2.522,3078,11290705,11230536,1,17.0,0.01300002,0
11230536,용신동,11290600,안암동,19894.64,24.83,1096.37,1.096,2837,11230536,11290600,1,11.0,0.02373996,0
11290610,보문동,11230536,용신동,19420.07,19.4,1161.56,1.162,2785,11290610,11230536,1,7.0,0.02736047,0
11230536,용신동,11200535,왕십리도선동,19380.13,20.36,1012.74,1.013,2773,11230536,11200535,1,12.0,0.023126,0
11230600,답십리1동,11230536,용신동,18693.78,23.73,1626.71,1.627,2806,11230600,11230536,1,21.0,0.01476312,0
11230610,답십리2동,11230536,용신동,16065.29,28.76,2442.84,2.443,2555,11230610,11230536,1,20.0,0.01410938,0
11230650,장안1동,11230536,용신동,15436.88,25.33,3311.39,3.311,2530,11230650,11230536,1,28.0,0.01087505,0
11230536,용신동,11140590,광희동,14741.06,31.35,2595.68,2.596,2319,11230536,11140590,1,13.0,0.01759027,0
11110710,숭인2동,11230536,용신동,14001.03,15.44,890.58,0.891,2377,11110710,11230536,1,10.0,0.02507272,0
11230536,용신동,11200560,행당1동,13730.89,18.27,1948.39,1.948,2126,11230536,11200560,1,14.0,0.01638485,0
11290600,안암동,11230536,용신동,13380.08,20.3,1150.37,1.15,2285,11290600,11230536,1,8.0,0.02443993,0
11305545,송중동,11230536,용신동,13300.94,39.58,4746.83,4.747,2479,11305545,11230536,1,26.0,0.01134858,0
11230570,전농2동,11230536,용신동,13220.23,28.29,2525.03,2.525,2271,11230570,11230536,1,16.0,0.01777821,0
11230536,용신동,11230560,전농1동,12969.73,25.21,1435.15,1.435,2251,11230536,11230560,1,15.0,0.01547657,0
11230730,휘경2동,11230536,용신동,12917.83,29.44,3022.27,3.022,2114,11230730,11230536,1,19.0,0.01435237,0
11230536,용신동,11110530,사직동,12648.43,42.6,5409.65,5.41,2159,11230536,11110530,1,16.0,0.01509317,0
11230536,용신동,11230650,장안1동,12220.1,26.22,3056.36,3.056,2096,11230536,11230650,1,17.0,0.01458205,0
11290810,석관동,11230536,용신동,12059.15,37.4,4541.79,4.542,2086,11290810,11230536,1,31.0,0.00927881,0
11200540,마장동,11230536,용신동,11429.28,20.71,1174.81,1.175,2163,11200540,11230536,1,24.0,0.01176857,0
11230536,용신동,11680580,삼성1동,10902.95,52.69,7550.66,7.551,1972,11230536,11680580,1,18.0,0.01301032,0
11230536,용신동,11140615,신당동,10345.78,35.25,2029.85,2.03,1909,11230536,11140615,1,19.0,0.01234545,0
11230740,이문1동,11230536,용신동,10027.59,30.93,3488.21,3.488,1930,11230740,11230536,1,21.0,0.01302023,0
11290725,월곡2동,11230536,용신동,9832.34,39.75,3284.88,3.285,2343,11290725,11230536,1,24.0,0.01163382,0
11230750,이문2동,11230536,용신동,9588.11,29.17,4284.31,4.284,1681,11230750,11230536,1,18.0,0.01324389,0
11230536,용신동,11170625,한강로동,9585.73,45.61,7631.38,7.631,1602,11230536,11170625,1,20.0,0.0114385,0
11230536,용신동,11230600,답십리1동,9578.95,24.01,1340.24,1.34,1780,11230536,11230600,1,21.0,0.01143041,0
11230536,용신동,11650530,서초3동,9497.99,61.78,10123.63,10.124,1718,11230536,11650530,1,22.0,0.0113338,0
11230720,휘경1동,11230536,용신동,9448.62,27.49,3203.32,3.203,1845,11230720,11230536,1,22.0,0.01441582,0
11305575,삼각산동,11230536,용신동,9444.65,40.87,4769.82,4.77,1840,11305575,11230536,1,35.0,0.00844346,0
11230536,용신동,11140605,을지로동,9437.61,35.51,3460.01,3.46,1675,11230536,11140605,1,23.0,0.01126175,0
11350560,월계1동,11230536,용신동,9219.67,40.61,5658.92,5.659,1878,11350560,11230536,1,24.0,0.01165551,0
11200570,행당2동,11230536,용신동,9162.95,34.78,2238.19,2.238,1855,11200570,11230536,1,39.0,0.00828558,0
11230536,용신동,11680531,논현2동,9027.94,51.35,6591.95,6.592,1707,11230536,11680531,1,24.0,0.0107729,0
11230536,용신동,11110710,숭인2동,9007.41,19.0,952.96,0.953,1700,11230536,11110710,1,25.0,0.0107484,0
11230536,용신동,11680545,압구정동,8995.39,44.09,5622.62,5.623,1815,11230536,11680545,1,26.0,0.01073406,0
11200560,행당1동,11230536,용신동,8885.57,21.74,2040.1,2.04,1934,11200560,11230536,1,28.0,0.01244553,0
11230536,용신동,11230705,청량리동,8863.93,24.9,1580.99,1.581,1779,11230536,11230705,1,27.0,0.01057719,0
11305555,송천동,11230536,용신동,8696.27,39.09,4749.23,4.749,1815,11305555,11230536,1,35.0,0.00921324,0
11230536,용신동,11200660,성수1가2동,8649.65,32.23,3270.6,3.271,1640,11230536,11200660,1,28.0,0.01032149,0
11230536,용신동,11680610,대치2동,8444.98,52.09,8014.58,8.015,1663,11230536,11680610,1,29.0,0.01007726,0
11260590,상봉2동,11230536,용신동,8424.63,33.86,4756.42,4.756,1856,11260590,11230536,1,40.0,0.00825672,0
11260680,신내1동,11230536,용신동,8416.07,45.94,7167.5,7.168,1809,11260680,11230536,1,46.0,0.00633087,0
11230536,용신동,11680630,대치4동,8359.92,50.4,8017.58,8.018,1454,11230536,11680630,1,30.0,0.00997576,0
11290715,월곡1동,11230536,용신동,8354.5,38.27,3591.9,3.592,1708,11290715,11230536,1,33.0,0.00894747,0
11230536,용신동,11410565,충현동,8349.21,41.9,6391.65,6.392,1549,11230536,11410565,1,31.0,0.00996298,0
11260610,중화2동,11230536,용신동,8236.65,38.41,4476.79,4.477,1723,11260610,11230536,1,42.0,0.00894878,0
11230536,용신동,11200540,마장동,8223.69,20.95,924.72,0.925,1642,11230536,11200540,1,32.0,0.0098132,0
11260655,망우본동,11230536,용신동,8122.66,43.2,6827.19,6.827,1704,11260655,11230536,1,55.0,0.0059299,0
11350580,월계3동,11230536,용신동,8077.27,38.59,6120.25,6.12,1767,11350580,11230536,1,41.0,0.00705076,0
11305660,인수동,11230536,용신동,7856.32,41.14,6983.57,6.984,1509,11305660,11230536,1,41.0,0.00754486,0
11290760,장위1동,11230536,용신동,7763.93,44.24,4730.45,4.73,1611,11290760,11230536,1,33.0,0.00881011,0
11305645,우이동,11230536,용신동,7656.57,44.28,8572.79,8.573,1558,11305645,11230536,1,25.0,0.01069659,0
11230536,용신동,11140570,필동,7634.19,39.66,4031.0,4.031,1536,11230536,11140570,1,33.0,0.00910976,0
11260565,면목본동,11230536,용신동,7532.72,36.93,5272.74,5.273,1698,11260565,11230536,1,66.0,0.0055332,0
11320512,창2동,11230536,용신동,7380.46,49.61,7500.93,7.501,1541,11320512,11230536,1,49.0,0.0070246,0
11230536,용신동,11680510,신사동,7297.47,48.41,6135.81,6.136,1479,11230536,11680510,1,34.0,0.00870795,0
11290660,길음1동,11230536,용신동,7167.34,39.13,3792.6,3.793,1607,11290660,11230536,1,67.0,0.00483076,0
11230536,용신동,11200790,용답동,7162.93,19.83,2423.19,2.423,1479,11230536,11200790,1,35.0,0.00854741,0
11230536,용신동,11110640,이화동,7156.29,33.86,2716.22,2.716,1468,11230536,11110640,1,36.0,0.00853949,0
11305534,삼양동,11230536,용신동,6993.88,42.28,5537.77,5.538,1581,11305534,11230536,1,47.0,0.00706162,0
11290555,삼선동,11230536,용신동,6893.76,27.85,1971.07,1.971,1588,11290555,11230536,1,38.0,0.00729971,0
11200615,금호2.3가동,11230536,용신동,6803.32,33.08,2907.38,2.907,1421,11200615,11230536,1,54.0,0.0069549,0
11290650,정릉4동,11230536,용신동,6753.9,39.4,4889.14,4.889,1467,11290650,11230536,1,38.0,0.00759792,0
11230536,용신동,11680650,역삼2동,6716.86,53.75,8487.26,8.487,1446,11230536,11680650,1,37.0,0.00801512,0
11230536,용신동,11710710,잠실6동,6701.82,51.15,9182.76,9.183,1420,11230536,11710710,1,38.0,0.00799718,0
11320514,창4동,11230536,용신동,6657.71,45.1,8736.34,8.736,1334,11320514,11230536,1,52.0,0.005971,0
