OD_KEY,거주동 코드,거주동 이름,근무동 코드,근무동 이름,목적지_순위,출근_이동량,거주동_전체_출근량,목적지_출근비중,누적_출근비중,선택목적지_출근량합,최종_가중치,평균_이동시간_분,평균_이동거리_m,내부통근여부,분석용_편도시간_분,분석용_편도거리_km,분석용_편도요금_원,요금산출방식,총도보시간_분,총도보거리_m,도보시간비중,환승횟수,버스_이용구간수,지하철_이용구간수,도보_구간수,기차_이용구간수,교통수단_순서,이용노선,추천경로수,전체추천경로수,최종경로유형,경로값_산출방식,경로정보존재여부,요금정보존재여부,home_code8,work_code8
11110580_11230536,11110580,교남동,11230536,용신동,56,2016.46,605883.87,0.00332813,0.77878952,485054.3,0.00415718,34.14,5797.9,False,36.1,7.89,1500.0,API_선택경로요금,7.5,506.0,0.2077562326869806,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,간선:720 → 간선:421,10.0,,대중교통,TMAP_최종경로,True,True,11110580,11230536
11110630_11230536,11110630,종로5.6가동,11230536,용신동,46,1037.55,328018.08,0.00316309,0.79898602,263107.85,0.00394344,30.65,2416.93,False,19.0,3.32,1500.0,API_선택경로요금,9.1,597.0,0.4789473684210526,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:370,10.0,,대중교통,TMAP_최종경로,True,True,11110630,11230536
11110640_11230536,11110640,이화동,11230536,용신동,45,1565.65,401502.7,0.00389948,0.7426505,322065.81,0.00486127,30.85,2351.8,False,25.7,4.07,1500.0,API_선택경로요금,11.7,766.0,0.4552529182879377,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,지선:2112,10.0,,대중교통,TMAP_최종경로,True,True,11110640,11230536
11110650_11230536,11110650,혜화동,11230536,용신동,59,2302.54,760903.86,0.00302606,0.77022578,609072.35,0.0037804,34.85,3308.9,False,26.6,4.89,1500.0,API_선택경로요금,8.0,499.0,0.3007518796992481,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,마을:종로08 → 지선:2112,10.0,,대중교통,TMAP_최종경로,True,True,11110650,11230536
11110670_11230536,11110670,창신1동,11230536,용신동,23,1941.72,204779.68,0.009482,0.58643348,164048.71,0.01183624,25.22,1393.37,False,18.0,2.71,1500.0,API_선택경로요금,11.8,827.0,0.6555555555555556,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:370,10.0,,대중교통,TMAP_최종경로,True,True,11110670,11230536
11110680_11230536,11110680,창신2동,11230536,용신동,20,3965.07,361303.43,0.01097435,0.57073125,289730.89,0.01368535,28.69,1824.87,False,18.4,2.74,1500.0,API_선택경로요금,12.2,827.0,0.6630434782608696,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:370,10.0,,대중교통,TMAP_최종경로,True,True,11110680,11230536
11110690_11230536,11110690,창신3동,11230536,용신동,24,3246.87,322678.11,0.01006226,0.53910109,259080.38,0.01253229,25.32,1355.96,False,19.6,3.29,1500.0,API_선택경로요금,10.0,655.0,0.5102040816326531,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,마을:종로03 → 간선:370,10.0,,대중교통,TMAP_최종경로,True,True,11110690,11230536
11110700_11230536,11110700,숭인1동,11230536,용신동,20,4114.15,369557.11,0.01113265,0.51929119,296434.47,0.01387878,25.4,1275.07,False,18.0,3.17,1500.0,API_선택경로요금,9.2,573.0,0.5111111111111111,1.0,2.0,0.0,3.0,0.0,WALK → BUS → WALK → BUS → WALK,마을:종로03 → 간선:370,10.0,,대중교통,TMAP_최종경로,True,True,11110700,11230536
11110710_11230536,11110710,숭인2동,11230536,용신동,10,14001.03,695525.21,0.02013015,0.35305563,558416.87,0.02507272,15.44,890.58,False,12.8,1.81,1500.0,API_선택경로요금,8.9,590.0,0.6953125,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:370,10.0,,대중교통,TMAP_최종경로,True,True,11110710,11230536
11140615_11230536,11140615,신당동,11230536,용신동,28,3241.12,448684.05,0.00722361,0.63748281,359837.45,0.00900718,26.82,1859.33,False,21.0,4.03,1500.0,API_선택경로요금,6.9,496.0,0.3285714285714285,0.0,1.0,0.0,2.0,0.0,WALK → BUS → WALK,간선:147,10.0,,대중교통,TMAP_최종경로,True,True,11140615,11230536
