행정기관코드,시도,자치구,행정동,관측연도수,관측시작연도,관측종료연도,전체세대수,청년1인세대수,청년1인세대비중,저표본_여부
1168066000,서울특별시,강남구,개포1동,3,2023,2025,22347.0,581,2.6,주의
1168067000,서울특별시,강남구,개포2동,3,2023,2025,44327.0,2547,5.75,일반
1168067500,서울특별시,강남구,개포3동,3,2023,2025,21630.0,1770,8.18,일반
1168069000,서울특별시,강남구,개포4동,3,2023,2025,29427.0,4179,14.2,일반
1168052100,서울특별시,강남구,논현1동,3,2023,2025,38992.0,15741,40.37,일반
1168053100,서울특별시,강남구,논현2동,3,2023,2025,32538.0,10163,31.23,일반
1168060000,서울특별시,강남구,대치1동,3,2023,2025,21426.0,285,1.33,주의
1168061000,서울특별시,강남구,대치2동,3,2023,2025,39419.0,2956,7.5,일반
1168063000,서울특별시,강남구,대치4동,3,2023,2025,28328.0,7947,28.05,일반
1168065500,서울특별시,강남구,도곡1동,3,2023,2025,24379.0,3835,15.73,일반
1168065600,서울특별시,강남구,도곡2동,3,2023,2025,33652.0,1635,4.86,일반
1168058000,서울특별시,강남구,삼성1동,3,2023,2025,15448.0,2406,15.57,일반
1168059000,서울특별시,강남구,삼성2동,3,2023,2025,40528.0,8960,22.11,일반
1168070000,서울특별시,강남구,세곡동,3,2023,2025,59566.0,10908,18.31,일반
1168075000,서울특별시,강남구,수서동,3,2023,2025,22594.0,1287,5.7,일반
1168051000,서울특별시,강남구,신사동,3,2023,2025,19388.0,3159,16.29,일반
1168054500,서울특별시,강남구,압구정동,3,2023,2025,29124.0,2172,7.46,일반
1168064000,서울특별시,강남구,역삼1동,3,2023,2025,69117.0,31893,46.14,일반
1168065000,서울특별시,강남구,역삼2동,3,2023,2025,45531.0,10165,22.33,일반
1168073000,서울특별시,강남구,일원1동,3,2023,2025,21972.0,3840,17.48,일반
1168072000,서울특별시,강남구,일원본동,3,2023,2025,23720.0,1256,5.3,일반
1168056500,서울특별시,강남구,청담동,3,2023,2025,31543.0,5485,17.39,일반
1174051500,서울특별시,강동구,강일동,3,2023,2025,40948.0,2535,6.19,일반
1174055000,서울특별시,강동구,고덕제1동,3,2023,2025,24318.0,956,3.93,일반
1174056000,서울특별시,강동구,고덕제2동,3,2023,2025,28861.0,2274,7.88,일반
1174068500,서울특별시,강동구,길동,3,2023,2025,69035.0,14172,20.53,일반
1174069000,서울특별시,강동구,둔촌제1동,3,2023,2025,16207.0,1091,6.73,일반
1174070000,서울특별시,강동구,둔촌제2동,3,2023,2025,31844.0,3884,12.2,일반
1174053000,서울특별시,강동구,명일제1동,3,2023,2025,29551.0,2085,7.06,일반
1174054000,서울특별시,강동구,명일제2동,3,2023,2025,19115.0,2557,13.38,일반
1174052500,서울특별시,강동구,상일제1동,3,2023,2025,40499.0,1371,3.39,일반
