결측동,결측동코드,자치구,후보동,후보동코드,공유_법정동수,공유_법정동명,같은자치구,주거비산출,채택,메모
하계2동,11350612,노원구,하계1동,11350611,1,하계동,Y,Y,,
상계8동,11350700,노원구,상계10동,11350720,1,상계동,Y,Y,,
상계8동,11350700,노원구,상계5동,11350670,1,상계동,Y,Y,,
상계8동,11350700,노원구,상계6.7동,11350695,1,상계동,Y,Y,,
상계8동,11350700,노원구,상계2동,11350640,1,상계동,Y,Y,,
상계8동,11350700,노원구,중계4동,11350624,1,상계동,Y,Y,,
상계8동,11350700,노원구,상계3.4동,11350665,1,상계동,Y,Y,,
상계8동,11350700,노원구,상계1동,11350630,1,상계동,Y,Y,,
상계9동,11350710,노원구,상계10동,11350720,1,상계동,Y,Y,,
상계9동,11350710,노원구,상계5동,11350670,1,상계동,Y,Y,,
상계9동,11350710,노원구,상계6.7동,11350695,1,상계동,Y,Y,,
상계9동,11350710,노원구,상계2동,11350640,1,상계동,Y,Y,,
상계9동,11350710,노원구,중계4동,11350624,1,상계동,Y,Y,,
상계9동,11350710,노원구,상계3.4동,11350665,1,상계동,Y,Y,,
상계9동,11350710,노원구,상계1동,11350630,1,상계동,Y,Y,,
반포본동,11650550,서초구,반포1동,11650560,1,반포동,Y,Y,,
반포본동,11650550,서초구,반포4동,11650581,1,반포동,Y,Y,,
반포2동,11650570,서초구,반포1동,11650560,1,반포동,Y,Y,,
반포2동,11650570,서초구,반포4동,11650581,1,반포동,Y,Y,,
오륜동,11710566,송파구,방이2동,11710562,1,방이동,Y,Y,,
오륜동,11710566,송파구,방이1동,11710561,1,방이동,Y,Y,,
잠실7동,11710720,송파구,잠실3동,11710680,1,잠실동,Y,Y,,
잠실7동,11710720,송파구,잠실본동,11710650,1,잠실동,Y,Y,,
잠실7동,11710720,송파구,잠실2동,11710670,1,잠실동,Y,Y,,
