행정동코드,검증표본수,정확도,행정동명
11110630,2,0.0,종로5.6가동
11200540,127,0.0,마장동
11170685,18,0.0,한남동
11170510,4,0.0,후암동
11200535,1,0.0,왕십리도선동
11230705,12,0.0,청량리동
11215780,17,0.0,능동
11215810,8,0.0,광장동
11290525,66,0.0,성북동
11290555,1,0.0,삼선동
11290810,52,0.0,석관동
11380560,69,0.0,구산동
11530790,16,0.0,수궁동
11590510,1,0.0,노량진제1동
11620630,12,0.0,남현동
11560550,29,0.069,당산제1동
11380570,78,0.1026,대조동
11440680,112,0.1964,합정동
11380510,203,0.2217,녹번동
11440655,64,0.2344,서강동
11560585,213,0.2535,도림동
11440590,6,0.3333,용강동
11215710,149,0.3893,화양동
11590660,128,0.3984,대방동
11560605,5,0.4,문래동
11440730,29,0.4483,성산제2동
11230515,10,0.5,신설동
11230710,119,0.5042,회기동
11440710,345,0.5043,연남동
11410520,26,0.5385,천연동
11440630,68,0.5588,신수동
11440660,287,0.5645,서교동
11545510,69,0.5797,가산동
11170700,27,0.5926,보광동
11530595,196,0.6173,가리봉동
11410565,16,0.625,충현동
11305645,49,0.6327,우이동
11740685,254,0.6417,길동
11230545,103,0.6505,제기동
11710570,87,0.6782,오금동
11500510,27,0.7037,염창동
11290575,97,0.7113,동선동
11215730,176,0.7216,군자동
11380640,4,0.75,증산동
11560535,25,0.76,영등포동
11560610,15,0.8,양평제1동
11590530,892,0.8352,상도제1동
11290705,50,0.84,종암동
11380625,271,0.8413,역촌동
11290725,175,0.8857,월곡제2동
11140615,28,0.8929,신당동
11140590,47,0.8936,광희동
11410615,187,0.9037,연희동
11410585,243,0.9835,신촌동
11110640,54,1.0,이화동
11140670,1,1.0,황학동
11140570,61,1.0,필동
11140580,9,1.0,장충동
11140540,7,1.0,회현동
11140550,25,1.0,명동
11440565,59,1.0,공덕동
11440740,29,1.0,상암동
11200550,147,1.0,사근동
11200590,7,1.0,금호1가동
11590605,73,1.0,흑석동
11560620,1,1.0,양평제2동
11710600,32,1.0,석촌동
11710610,1,1.0,삼전동
