행정동코드,미분류,1순위_지번정밀,2순위_도로명근사,3순위_텍스트추정,총거래수,근사배정_건수,근사배정_비중,단독다가구_건수,단독다가구_비중,행정동명,교통비_커버리지
11110515,399,0,0,0,399,0,0.0,193,0.4837,청운효자동,
11110530,671,0,0,0,671,0,0.0,149,0.2221,사직동,
11110540,48,0,0,0,48,0,0.0,48,1.0,삼청동,
11110550,394,0,0,0,394,0,0.0,204,0.5178,부암동,
11110560,175,0,0,0,175,0,0.0,96,0.5486,평창동,
11110570,21,0,0,0,21,0,0.0,10,0.4762,무악동,
11110580,368,0,0,0,368,0,0.0,140,0.3804,교남동,
11110600,192,0,0,0,192,0,0.0,87,0.4531,가회동,
11110615,521,0,0,0,521,0,0.0,120,0.2303,종로1.2.3.4가동,
11110630,808,0,0,0,808,0,0.0,156,0.1931,종로5.6가동,
11110640,1134,0,0,0,1134,0,0.0,574,0.5062,이화동,
11110650,4070,0,0,0,4070,0,0.0,2993,0.7354,혜화동,
11110670,904,0,0,0,904,0,0.0,597,0.6604,창신제1동,
11110700,2628,0,0,0,2628,0,0.0,591,0.2249,숭인제1동,
11140520,97,0,0,0,97,0,0.0,5,0.0515,소공동,
11140540,190,0,0,0,190,0,0.0,141,0.7421,회현동,
11140550,355,0,0,0,355,0,0.0,135,0.3803,명동,
11140570,1515,0,0,0,1515,0,0.0,424,0.2799,필동,
11140580,242,0,0,0,242,0,0.0,157,0.6488,장충동,
11140590,435,0,0,0,435,0,0.0,122,0.2805,광희동,
11140605,169,0,0,0,169,0,0.0,0,0.0,을지로동,
11140615,328,0,0,0,328,0,0.0,36,0.1098,신당동,
11140635,3381,0,0,0,3381,0,0.0,1954,0.5779,약수동,
11140670,1121,0,0,0,1121,0,0.0,146,0.1302,황학동,
11140680,504,0,0,0,504,0,0.0,58,0.1151,중림동,
11170510,993,0,0,0,993,0,0.0,637,0.6415,후암동,
11170520,637,0,0,0,637,0,0.0,424,0.6656,용산2가동,
11170530,543,0,0,0,543,0,0.0,236,0.4346,남영동,
11170555,2332,0,0,0,2332,0,0.0,1716,0.7358,청파동,
11170560,1024,0,0,0,1024,0,0.0,234,0.2285,원효로제1동,
11170570,442,0,0,0,442,0,0.0,208,0.4706,원효로제2동,
11170580,348,0,0,0,348,0,0.0,129,0.3707,효창동,
11170590,415,0,0,0,415,0,0.0,182,0.4386,용문동,
11170625,499,0,0,0,499,0,0.0,82,0.1643,한강로동,
11170630,66,0,0,0,66,0,0.0,11,0.1667,이촌제1동,
11170650,1345,0,0,0,1345,0,0.0,1100,0.8178,이태원제1동,
11170685,333,0,0,0,333,0,0.0,261,0.7838,한남동,
11170690,254,0,0,0,254,0,0.0,164,0.6457,서빙고동,
11170700,459,0,0,0,459,0,0.0,431,0.939,보광동,
11200520,965,0,0,0,965,0,0.0,576,0.5969,왕십리제2동,
11200535,1365,0,0,0,1365,0,0.0,412,0.3018,왕십리도선동,
11200540,2004,0,0,0,2004,0,0.0,1610,0.8034,마장동,
11200550,3439,0,0,0,3439,0,0.0,2536,0.7374,사근동,
11200580,130,0,0,0,130,0,0.0,47,0.3615,응봉동,
11200590,139,0,0,0,139,0,0.0,34,0.2446,금호1가동,
11200615,480,0,0,0,480,0,0.0,362,0.7542,금호2.3가동,
11200620,180,0,0,0,180,0,0.0,145,0.8056,금호4가동,
11200645,214,0,0,0,214,0,0.0,94,0.4393,옥수동,
11200650,1861,0,0,0,1861,0,0.0,999,0.5368,성수1가제1동,
11200670,1515,0,0,0,1515,0,0.0,895,0.5908,성수2가제1동,
11200720,1259,0,0,0,1259,0,0.0,1107,0.8793,송정동,
11200790,2149,0,0,0,2149,0,0.0,1020,0.4746,용답동,
11215710,9660,0,0,0,9660,0,0.0,6315,0.6537,화양동,
